item_name,supplier_name,supplier_price,helions_price,supplier_email,supplier_sku
DG - Gate Post (Qty. 1),,,240.00,,
PG - Gate Post (Qty. 1),,,150.00,,
DG - Straight Top,,,0.00,,
DG - Single Arch,,,212.83,,
DG - Grande Arch,,,266.04,,
DG - Inverted Arch,,,266.04,,
Locinox Lockable Drop Bolt,DC Iron,35,45,sales@dciron.co.uk,LOCKEY
Locinox Handle Insert Kit (50mm SHS),DC Iron,139.99,167.99,sales@dciron.co.uk,GLF3
Gate Ring Latch,DC Iron,5.9,10,sales@dciron.co.uk,GLK3
Aluminium Gate Hold Back Catch,DC Iron,20,25,sales@dciron.co.uk,LOCUGC
Pair of Crook Drop Bolts,DC Iron,6.95,10,sales@dciron.co.uk,DB3K
Locinox Tiger Hinge Closer (75kg),DC Iron,180,216,sales@dciron.co.uk,LOCTIGB
Locinox Mammoth Hinge Closer (150kg),DC Iron,259.99,312,sales@dciron.co.uk,LOCMAMMB
Locinox Gate Safety Cable,DC Iron,6.05,10,sales@dciron.co.uk,LOCBSAFE
